"season","episode","episode_name","ken_kwapis","greg_daniels","b_j_novak","paul_lieberstein","mindy_kaling","paul_feig","gene_stupnitsky","lee_eisenberg","jennifer_celotta","randall_einhorn","brent_forrester","jeffrey_blitz","justin_spitzer","imdb_rating","name","value"
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"andy",0
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"angela",1
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"darryl",0
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"dwight",29
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"jim",36
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"kelly",0
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"kevin",1
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"michael",81
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"oscar",3
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"pam",41
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"phyllis",2
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"ryan",8
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"toby",0
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"erin",0
1,1,"pilot",1,1,0,0,0,0,0,0,0,0,0,0,0,7.6,"jan",12
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"andy",0
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"angela",4
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"darryl",0
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"dwight",17
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"jim",25
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"kelly",2
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"kevin",8
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"michael",75
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"oscar",13
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"pam",12
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"phyllis",0
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"ryan",4
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"toby",2
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"erin",0
1,2,"diversity day",1,0,1,0,0,0,0,0,0,0,0,0,0,8.3,"jan",0
1,3,"health care",0,0,0,1,0,0,0,0,0,0,0,0,0,7.9,"andy",0
1,3,"health care",0,0,0,1,0,0,0,0,0,0,0,0,0,7.9,"angela",5
1,3,"health care",0,0,0,1,0,0,0,0,0,0,0,0,0,7.9,"darryl",0
1,3,"health care",0,0,0,1,0,0,0,0,0,0,0,0,0,7.9,"dwight",62
