"zero","one","two","three","four","id"
64.27,65.950883820773,69.8655126334176,70.0718438371173,71.5574561808766,1
65.42,68.3346375305084,71.7749537024699,71.4885191317413,72.4141973368302,2
71.58,75.0027405794946,77.1690562641402,80.0385479461309,80.3079895857648,3
51.71,52.6108987790356,53.0054816754784,51.8001350450784,53.8290344480824,4
73.18,74.5752874513094,76.5075471013907,76.1024146870391,75.4414238944284,5
51.64,52.4124347085285,54.4139203302043,54.6660540637215,54.7480844809045,6
71.25,71.1596148549378,70.6704559695301,72.7876348711965,72.4160357107441,7
51.1,52.1658973069862,53.3387316150504,53.0576947061575,54.984421040549,8
64.09,66.3859839431941,66.4829079791034,67.1292388272242,67.3817031560109,9
82.67,84.2715033897956,87.2614182070947,85.0585302439155,85.0292789984226,10
47.28,53.1957140623056,53.4355719847257,54.8227715593585,51.4900472275892,11
68.56,74.2892385059938,72.520667664467,74.550849009682,71.3771644224552,12
41.34,45.9000745684888,46.0457778669653,47.5622648453612,44.3748267152692,13
57.17,61.9086291767504,62.3549215999504,63.4527879697605,61.609110160028,14
65.18,67.5813550723552,68.1730188168565,69.1003367044368,65.1621425724846,15
69.02,72.775440338923,73.7815363085378,74.7677797714013,72.2918320996225,16
45.07,49.0358797843883,49.8721794479432,48.149360424507,45.0212737259431,17
47.79,53.2035722718986,53.6592999332721,55.0712133105275,50.244901132284,18
49.21,53.1272066882456,53.6888243867858,55.9204490661047,53.4531148499512,19
62.04,68.0495557647207,69.5345650603866,72.1248714866828,69.1653115409954,20
84.38,81.2671918400643,80.1788270797067,77.6685947842084,76.6847355542888,21
88.58,88.1907960041495,87.2719363635571,86.6088210120256,84.8810929990819,22
88.79,88.5007506136657,88.8888958621007,85.9983915960271,84.9981123680489,23
82.65,81.8626177720957,80.8392071503945,77.2858169840173,76.8887198325971,24
87.03,87.5224049840491,87.509997673563,86.8812971625129,84.8517669519569,25
83.05,82.4596265632572,81.314930210437,78.7060709256308,76.3086859975166,26
89.06,87.5144343736291,85.9109828136014,83.9658576569764,81.8700443483285,27
80.67,80.0998305619784,78.9100349014055,75.7894761116833,72.9593469114459,28
86.04,84.1291575277097,84.001786286254,83.4219101321133,82.0358125179554,29
81.56,79.5405888406339,77.3382148275808,76.4522417993077,74.5117085917376,30
