"x","y","cluster"
1.83646215047804,1.21442243019908,"A"
2.62647644458488,1.349307241283,"A"
1.70043615577409,0.718202664777147,"A"
1.72318794871838,1.10414050292883,"A"
1.36717192701735,0.695544458861987,"A"
1.09768716509695,0.630969025909603,"A"
0.359677403960717,0.468220254091272,"A"
1.37640059748417,1.35439300327015,"A"
2.02849617649899,1.57944458718782,"A"
1.29568101126487,0.926732186695269,"A"
0.0475606265813924,0.6,"A"
0.656466870104232,0.751006893129646,"A"
1.13210709214935,0.657131970123402,"A"
1.47817863431373,1.23808377187155,"A"
1.1196840404667,0.621341494168409,"A"
0.988026080732543,0.825271262271331,"A"
1.91632856781572,0.977729989947749,"A"
1.49011059270394,0.178896249066258,"A"
1.58592764266596,0.377585565847721,"A"
1.34433724136602,1.12061492269813,"A"
1.83191765637974,0.830825818788614,"A"
0.726110476716168,0.518777647717372,"A"
0.474563452707514,0.956698677183076,"A"
1.63627552953868,1.05167770450126,"A"
0.973409649895632,0.817792595989082,"A"
1.20919899381412,0.969220504465835,"A"
0.428342868923429,0.846501636986968,"A"
2.05685422546695,1.46186268108576,"A"
1.41121284097467,1.15168880835709,"A"
1.72384873648304,1.43379021843189,"A"
1.09781823167659,0.594959877680516,"A"
1.3802530189037,0.484610473488879,"A"
1.29946189775798,0.643990520148511,"A"
1.12870732001209,0.985193666795973,"A"
1.40030784291511,0.49581035938418,"A"
1.21118660364953,0.905672083630953,"A"
1.10837004577023,0.572787362348488,"A"
1.48708166229267,1.3173403122547,"A"
1.21724713626156,0.962782417477503,"A"
1.46785030560676,0.973991319637402,"A"
1.26340652510444,1.01706483490958,"A"
0.667576266517803,1.10068806518122,"A"
1.21765652314396,0.741523332508214,"A"
0.352932031958666,0.195573973463759,"A"
1.1468123920096,1.23928618373634,"A"
0.379017382308671,0.334948002439763,"A"
1.73361129052693,1.84571634150713,"A"
0.955885580813295,0.913319670405655,"A"
1.9136672207176,1.24563497713171,"A"
1.16449117550454,0.708779120237923,"A"
1.16877866150595,0.871307279936935,"A"
0.613026064332372,0.551590592292176,"A"
1.26388936482346,0.840558311062248,"A"
1.21880190428129,0.681398095527735,"A"
1.62685293607615,1.02828523571029,"A"
0.761317152390889,0.497642113002234,"A"
