X1,X2
-10.844898372319836,-7.553522726562745
-9.751573566587453,-5.203026198176283
-11.510236350280888,-4.162843213812081
-7.726757948652349,-5.866565633916548
-8.55545130096433,-5.035368003422989
-8.81718974886526,-4.579256336672506
-8.89314980317568,-5.32749594217125
-7.035285456338817,-4.634899727873358
-9.2909954481144,-6.110015326196258
-8.992939211551535,-4.799269444060296
-8.14569116664311,-7.001194954819966
-8.82010859251805,-6.8453897716146255
-9.464436766348976,-6.540657248342111
-9.022694729242932,-4.365698259762823
-10.813602278826897,-5.049525330241017
-8.147798210219307,-4.878821277170505
-8.094215850782051,-5.7749273933890635
-10.430850668212116,-6.234084368027341
-8.405901057585934,-4.79557027150421
-9.956645364230686,-6.0521238864059725
-8.53616394179077,-5.625843913418277
-10.076450036378095,-5.399924249770204
-8.981104302160377,-5.746658988105251
-8.424578320056511,-5.322646635548799
-8.803196779175222,-5.5862495687281415
-9.378284814261244,-3.665080577500815
-8.731371979285626,-4.586968683907697
-9.450179105860807,-5.925277488227979
-9.345123810940425,-3.5189244045479344
-9.45849879382565,-4.522199595775289
-9.93761365122951,-3.868097995638365
-6.867092087363954,-5.766832601085387
-10.090810773757482,-5.469534833878375
-9.808596178487953,-6.943026214643361
-8.90198359102881,-6.451543989959995
-10.556140857034778,-5.978412343997302
-8.971840276974303,-6.042117234130715
-9.255680682222607,-6.744031624077561
-9.985752104328673,-3.9811037463443704
-7.613221858608172,-5.590643549105038
-10.487752605055928,-4.923099426617135
-9.625016349341692,-6.742680554790467
-8.54606245765481,-8.34464530814272
-8.403877187562147,-4.554457631282436
-8.571757617701858,-4.103543944414995
-9.473395756144962,-6.612091416470406
-9.133838672648842,-5.149702781458045
-8.71693851742024,-5.101671999912375
-8.384762171606821,-5.7002863816486835
-10.766958688823408,-4.060868426839297
-8.50973656307954,-5.548222006105012
-9.27536209351574,-7.8316765321512065
-8.54813623121769,-4.800537216263536
-9.887227995840515,-3.703889852355595
