"py","r","c","sql","js"
99.5967091300267,77.2534768564276,28.4067576291895,24.7151106739415,-9.00650466412058
86.0471128002274,69.5131274138374,27.3132576101741,14.1391862435669,7.33644038203499
92.5418988793614,86.0300926385438,12.9775394721211,33.1701868446498,13.1992758915116
94.4300382347273,79.5002951400212,32.9393733117092,23.0844800903814,19.4167746960951
92.829878261987,75.6283245261972,15.3325861386953,21.7250827272942,-4.63803118768365
89.2571283873596,76.9358552310402,20.7385966871925,16.3322337040965,-3.05598895938974
100.580653982073,79.7550217123869,17.044208826918,24.9456657635587,0.0592502366791514
89.3373867311083,75.6288302060536,19.1435487963152,19.3980247543384,-2.37839047454034
104.128965997139,54.0483694179295,21.3173512415105,21.2655536903469,0.479793938002561
89.5610013066331,76.9941806747146,20.834126705979,34.0137267190921,3.70235422626448
99.1340875795644,72.4293575008132,19.8243521439282,23.7713189083051,-3.40855435517989
106.006517748908,76.2966139540593,20.7565090955942,17.4975233109453,19.2588051688821
80.2779750922136,79.0727660915585,16.6019533490733,26.1424481772717,5.75442321419883
88.0484786322784,84.7981577910488,16.4704800851847,22.4608310906044,4.41124329646094
89.0667506452444,69.9089555836787,8.37230644059632,29.1300948359114,8.46933749123216
94.4516527864905,84.117798424309,17.3236639118833,35.0269534941169,5.26190630282576
88.0102295500875,77.3509368382645,16.4114481948554,18.0511524222335,4.07538374130863
71.4048120536666,82.2695426908834,38.9132370024136,28.182552083062,15.3375119648647
72.9167314999714,81.4450999780345,10.465186381672,25.5942864107494,3.48078852935528
99.2407934201113,80.046147140068,20.9607935299102,31.2689590758518,-3.98521542864557
87.8535298414507,67.698167430025,9.54462452878597,23.3915530273761,7.69967523310382
77.53084096214,74.3686952937251,9.70694980994242,30.8563334792243,2.53940988529635
88.7965785096826,79.3646271339968,20.872916703379,12.7846089706431,1.34742734650612
98.5027228942082,68.3253364955936,13.0235260558117,36.8262124491936,-2.47691840481019
103.266354228855,71.200198297983,19.987241699867,31.05344584963,7.99856132286685
86.9867160787566,79.0669754837718,17.0021878300193,23.9445680777998,3.78187235901104
88.1991143206175,80.3772511648421,15.7042987548535,14.8569500890258,8.60967410053621
77.6578584036365,78.2463731197812,5.82725508206625,29.5010609002939,3.35944305885855
