"height","weight","diet","age"
151.886470813919,71.6975077113275,"meat",26
187.971198667887,89.1007112853972,"meat",43
183.534121912597,114.597379200701,"meat",43
145.60163791319,44.0871364786061,"meat",69
166.856838884632,107.413574403442,"meat",12
183.390589216207,98.5396457631659,"meat",24
179.306191351598,71.0775922334687,"meat",10
164.180955568974,81.9460993878681,"meat",55
165.004733717567,80.8992244379078,"meat",36
163.662566009262,72.7008855415451,"meat",8
176.953883029592,75.3701445006198,"meat",29
168.566150101162,66.4058173209601,"meat",25
165.090888165701,74.9264831169287,"meat",51
167.867406159763,96.5552993549248,"meat",56
190.163743972983,106.688048071421,"meat",20
180.263410060257,83.4109537257919,"meat",66
189.157331424575,66.2900602428202,"meat",54
159.463177243055,74.9095787887621,"meat",50
160.930619423844,75.9986544485288,"meat",50
196.097312764822,143.405729500665,"meat",54
165.476993980725,100.093550866006,"meat",64
169.772426476852,79.7809377204634,"meat",34
159.360247394254,88.1226692565397,"meat",46
180.91406263673,98.892926127088,"meat",101
171.246725054377,73.1276311941666,"meat",23
162.839162461585,57.6610630232065,"meat",51
185.07006860979,99.3386746331814,"meat",16
160.05998522657,71.3708613736628,"meat",49
175.015065866438,89.5671663687613,"meat",64
161.394600559714,72.9306444228336,"meat",-2
187.682575992525,112.330444407912,"meat",33
163.387792243868,84.4588800044563,"meat",90
167.950881319474,74.8858304927137,"meat",30
155.993795403512,88.6714273002866,"meat",17
150.643270466085,60.739715177374,"meat",54
169.105070945961,61.3201213914694,"meat",31
149.021356405589,46.4339018039014,"meat",75
153.757103724109,66.7100291875046,"meat",67
174.359788929762,82.2076272057918,"meat",61
166.348049109399,82.7561570803356,"meat",16
190.351800229231,120.247694095878,"meat",52
151.225983086684,76.0037775800399,"meat",53
168.973532519216,70.1286108462673,"meat",3
171.512245697025,84.4877956130428,"meat",58
166.537728671285,67.8711071980787,"meat",51
171.162161616679,65.5094260810289,"meat",24
174.910275280659,59.1341023857965,"meat",41
157.361889372981,66.7926775410668,"meat",86
163.633138220718,82.9481846624242,"meat",61
163.692508464265,83.662063552473,"meat",19
162.382942978586,47.9716633545448,"meat",47
176.16290156609,72.9682364171523,"meat",80
169.460273740003,62.723549044917,"meat",46
167.199955888075,66.853683136245,"meat",35
171.60221056449,87.7321346603322,"meat",68
177.697471153836,103.926979126403,"meat",36
202.492695917182,117.692573532624,"meat",40
187.004183696087,60.3986251680343,"meat",62
188.383385038304,125.928358399723,"meat",81
155.355843210027,70.7602715571843,"meat",28
188.839936305791,99.1108936479651,"meat",40
216.09285756544,133.794207984896,"meat",44
176.853206094372,87.7937244159473,"meat",63
165.539078880146,77.6054326510338,"meat",76
169.354210958112,93.5514700928144,"meat",79
187.243146105173,131.469170220398,"meat",40
166.835159539486,63.6436434703119,"meat",64
190.401213801011,117.933858276375,"meat",28
181.903549509477,122.530357444805,"meat",34
186.251465197919,91.8961970180922,"meat",21
176.797695068993,88.994043121844,"meat",23
182.7181292248,72.1340309325623,"meat",57
168.070629763348,84.3831237968921,"meat",60
188.275119717482,99.2555786798753,"meat",49
208.781243601852,125.29868945859,"meat",30
179.005988486416,83.0451565010122,"meat",51
153.663929801839,65.383883101101,"meat",21
182.261551217162,64.9504266014989,"meat",10
181.593158772829,92.8174193001912,"meat",35
178.689441086295,78.6853934303701,"meat",37
180.088810426006,81.6420564236045,"meat",26
169.167783432203,89.1404681880997,"meat",5
154.612584882693,65.2653041844064,"meat",37
173.580838098286,86.0924964060979,"meat",56
181.836189490152,109.18823500271,"meat",61
188.611045290376,100.409120819136,"meat",77
197.610471609168,90.2869423287011,"meat",46
160.953047982387,88.1169427215047,"meat",91
174.300018069332,85.1157318167409,"meat",54
162.403096183321,65.0365877782985,"meat",42
173.106439550333,89.7777286223612,"meat",6
172.413932159507,98.8512816592268,"meat",94
193.721425360905,125.164031565657,"meat",73
180.796405164189,114.106472816579,"meat",58
168.257991638791,80.6537799212261,"meat",67
183.451505452871,94.2956424212952,"meat",66
162.679610340104,66.5257149556018,"meat",62
180.007413161704,111.188617067005,"meat",64
194.055809670695,104.4682130597,"meat",66
209.65660509676,126.13517344298,"meat",31
177.938502121038,99.6180108615825,"meat",40
164.182487618142,83.9535094860874,"meat",47
188.823170885364,82.6276507179227,"meat",28
162.503506343935,84.2975550306925,"meat",89
164.261343065383,74.0902195301022,"meat",19
178.542935038695,92.3018000819504,"meat",48
154.955503025487,78.3316892157673,"meat",29
165.819298533191,100.817629894698,"meat",47
