X1,X2,y
3.033900483,3.586612488,0
4.787792451,17.66363032,1
7.954019336,0.915931154,1
5.804289179,12.21232917,1
-6.659940434,7.114966186,1
4.304088887,3.947246188,1
8.966121726,15.75294925,1
4.767826944,-4.694634128,1
2.147762749,7.865661091,1
2.010718618,3.13409013,1
-10.66468283,-5.026795178,0
10.11622437,5.212160582,1
3.474920794,13.39906365,1
-0.286476048,3.310846986,0
0.018968628,-0.283465599,1
6.708488665,6.574804673,1
-5.535553841,9.288737585,1
-2.991709999,-5.564131362,1
8.726496205,10.73673022,1
3.325413671,14.73709452,1
-11.75851,16.62517288,1
-3.934503224,-4.304326128,0
-4.904327595,-0.343333505,1
-6.027476785,-2.075987594,0
-1.279046285,1.703218658,0
-1.714692391,16.73647342,1
-4.063122053,-1.738418859,0
16.42795225,11.66634019,1
0.79760897,3.779633306,1
-7.223207354,-6.655535089,1
6.683990463,4.561323778,1
7.628998084,11.73396993,1
5.466926767,8.710281572,1
-10.03864392,-7.684983532,1
-5.045174846,9.950178947,1
-0.167898165,9.048269154,1
-2.635352531,6.881286323,1
5.080116058,0.831838428,1
11.11345244,-10.37897801,0
-3.559332523,15.60775969,1
8.468870585,-6.567241405,0
9.552833961,10.30945289,1
0.308529904,2.374946103,1
7.746072182,-5.670538482,0
9.756841196,1.258815622,1
3.914478188,1.376476233,1
2.930076739,3.614961541,1
17.8269684,0.286796018,1
-6.147891187,12.41698418,1
-0.982118773,4.359236079,1
3.192445776,-15.80923218,0
-1.695153471,-5.821973879,0
4.337317841,1.295827618,1
2.594730849,9.944033711,1
5.10445645,-1.732112372,1
8.730821026,1.401172814,1
3.581378289,9.366881,1
7.103275872,-2.873700467,1
3.990806962,3.954917934,1
12.98874268,3.276152819,1
8.090441682,-11.69520681,1
7.50381203,9.708623906,1
14.35283324,5.656416179,1
8.37656658,6.444422553,1
5.193507279,-0.889061495,0
3.139299359,-9.609026585,1
11.68629786,1.480856367,1
-2.737341353,-7.614616606,0
1.655031669,10.63501247,1
6.456016646,6.210981073,1
8.927480916,4.692869314,1
1.897433252,-0.982160966,1
-1.698820107,5.485562606,1
6.772647622,-14.36084426,0
-4.232759474,2.312628892,1
6.394967355,9.095308441,1
2.530165021,12.6711685,1
20.16995424,3.508191334,1
3.409544324,1.014966033,0
15.86320948,-2.834361535,1
3.041003012,-3.056054736,1
11.23294761,18.12187788,1
-6.238965866,10.52369071,1
-3.034569245,-7.267150508,0
10.07696389,-0.157095645,1
-3.2533654,1.519739147,0
10.91801113,6.281203408,1
0.791933442,1.776661857,1
3.402688964,5.19568728,1
2.307571804,0.965311767,1
4.181331537,4.285674873,1
18.14419837,-6.378165537,1
4.277212569,-2.398724413,1
1.077578923,-3.788557011,0
14.70169759,8.016445292,1
3.880526039,4.659053115,1
11.72850625,7.453403228,1
13.44524,5.774609478,1
-0.854507092,10.60153082,0
14.76590452,7.028070179,1
4.340051059,5.051293673,1
-0.085765424,-3.496222253,0
-1.74671752,1.496891282,0
8.019108881,12.7593553,1
-1.269072374,4.776903447,0
-4.251709701,-5.832382445,0
-0.263689114,-0.206723337,1
-6.482949763,8.154727606,0
10.21331694,9.502469839,1
11.96203142,7.216956298,1
1.725354992,3.806972823,1
6.492794968,3.220153086,1
5.13117702,2.187957102,1
-1.131315668,9.767169438,1
5.637336344,-4.154081897,1
7.420949851,8.561471139,1
5.364501175,6.26674853,1
