artist,album,track_number,id,name_x,uri_x,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,explicit,mode,time_signature,genres,artist_pop,name_y,total_followers,uri_y
Beyoncé,The Lion King: The Gift [Deluxe Edition],1,0gdOcxvPU37ADE7vPkgQsv,BIGGER,spotify:track:0gdOcxvPU37ADE7vPkgQsv,0.633,0.509,0.36,0.0,0.13,-8.2,0.0361,129.624,0.181,50,226360,False,0,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],2,0Ae8EusoCw7lIkpDycUHYl,FIND YOUR WAY BACK,spotify:track:0Ae8EusoCw7lIkpDycUHYl,0.197,0.783,0.693,0.0274,0.0768,-6.747,0.174,119.063,0.623,51,162438,False,0,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],3,6VsNsaxmzrKZ5dKmIgePBN,DON'T JEALOUS ME,spotify:track:6VsNsaxmzrKZ5dKmIgePBN,0.0194,0.926,0.782,0.0718,0.355,-5.3,0.101,120.005,0.563,49,156442,False,0,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],4,3W7fs58MeWMZfAbW3vpobA,JA ARA E,spotify:track:3W7fs58MeWMZfAbW3vpobA,0.0488,0.795,0.671,0.0119,0.0752,-5.792,0.0601,92.001,0.867,48,190434,False,1,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],5,7wD8R6QWYJbp6eWrgrNkUH,NILE,spotify:track:7wD8R6QWYJbp6eWrgrNkUH,0.731,0.554,0.45,0.0,0.339,-9.454,0.182,87.047,0.348,48,107462,False,0,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],6,6tbkOI2yzodPd7FsYcz5D3,MOOD 4 EVA (feat. Oumou Sangaré),spotify:track:6tbkOI2yzodPd7FsYcz5D3,0.12,0.611,0.723,0.0,0.322,-6.199,0.369,105.758,0.718,51,272464,False,1,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],7,1x3TIh0CKnYlKe4ePrp3kM,WATER,spotify:track:1x3TIh0CKnYlKe4ePrp3kM,0.105,0.807,0.809,3.3e-06,0.186,-3.713,0.0709,124.052,0.462,51,153193,False,0,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],8,0sCyaAxs2y2h85hEv6qXMO,BROWN SKIN GIRL,spotify:track:0sCyaAxs2y2h85hEv6qXMO,0.0554,0.526,0.609,0.0,0.291,-7.072,0.212,88.83,0.605,49,248143,False,1,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],9,3g5RCw8zQJX7co0t1i207F,KEYS TO THE KINGDOM,spotify:track:3g5RCw8zQJX7co0t1i207F,0.00642,0.735,0.678,1.58e-05,0.114,-6.655,0.0896,90.028,0.686,47,199073,False,1,4,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Beyoncé,The Lion King: The Gift [Deluxe Edition],10,1TSinFFcDJJzR6ErO81Y3c,ALREADY,spotify:track:1TSinFFcDJJzR6ErO81Y3c,0.0876,0.671,0.755,0.0,0.429,-5.831,0.0683,67.332,0.543,56,223422,False,0,3,dance pop_pop_r&b,85,Beyoncé,29012079,spotify:artist:6vWDO969PvNqNYHIOW5v0m
